index,OPE ID,School,City_x,State_x,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Lat,Lng,City_y,State_y,Full Zip Code
283,9841,UNIVERSITY OF NORTH FLORIDA,JACKSONVILLE,FL,32224,Public,Subsidized,2023,2092,8408172.0,2092,4170347.0,30.26815,-81.4642,Jacksonville,FL,32224
284,3955,UNIVERSITY OF WEST FLORIDA (THE),PENSACOLA,FL,32514,Public,Subsidized,1834,1834,7883982.0,1834,4145895.0,30.53209,-87.22235,Pensacola,FL,32514
285,1528,ST. PETERSBURG COLLEGE,LARGO,FL,33760,Public,Subsidized,3426,3430,12758342.0,3431,6353761.0,27.90535,-82.71389,Clearwater,FL,33760
286,1495,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,32211,Private-Nonprofit,Subsidized,926,927,4002676.0,927,1997671.0,30.33276,-81.58428,Jacksonville,FL,32211
287,1526,SAINT LEO UNIVERSITY,SAINT LEO,FL,33574,Private-Nonprofit,Subsidized,1380,1381,5685972.0,1381,2209867.0,28.33811,-82.257,Saint Leo,FL,33574
288,8849,PALM BEACH ATLANTIC UNIVERSITY,WEST PALM BEACH,FL,33401,Private-Nonprofit,Subsidized,956,956,4013326.0,956,2033465.0,26.71805,-80.0685,West Palm Beach,FL,33401
289,35493,ULTIMATE MEDICAL ACADEMY,CLEARWATER,FL,33756,Private-Nonprofit,Subsidized,4064,4952,12977313.0,5661,7065938.0,27.94421,-82.79216,Clearwater,FL,33756
290,7870,HILLSBOROUGH COMMUNITY COLLEGE,TAMPA,FL,33606,Public,Subsidized,2857,2857,10188170.0,2874,5156165.0,27.93209,-82.46493,Tampa,FL,33606
291,1488,FLORIDA SOUTHERN COLLEGE,LAKELAND,FL,33801,Private-Nonprofit,Subsidized,1068,1068,4731567.0,1068,2396164.0,28.0401,-81.8947,Lakeland,FL,33801
292,1521,SOUTHEASTERN UNIVERSITY,LAKELAND,FL,33801,Private-Nonprofit,Subsidized,1218,1218,5121121.0,1218,2420378.0,28.0401,-81.8947,Lakeland,FL,33801
293,1505,LYNN UNIVERSITY,BOCA RATON,FL,33431,Private-Nonprofit,Subsidized,584,585,2432983.0,585,1201262.0,26.37996,-80.1028,Boca Raton,FL,33431
294,1467,BETHUNE COOKMAN UNIVERSITY,DAYTONA BEACH,FL,32114,Private-Nonprofit,Subsidized,1440,1529,6027557.0,1529,3016636.0,29.19312,-81.04915,Daytona Beach,FL,32114
295,12574,RINGLING COLLEGE OF ART AND DESIGN,SARASOTA,FL,34234,Private-Nonprofit,Subsidized,648,648,3009766.0,648,1506150.0,27.36934,-82.5574,Sarasota,FL,34234
296,1515,ROLLINS COLLEGE,WINTER PARK,FL,32789,Private-Nonprofit,Subsidized,677,711,3111396.0,711,1589792.0,28.59977,-81.35235,Winter Park,FL,32789
297,1470,EASTERN FLORIDA STATE COLLEGE,COCOA,FL,32922,Public,Subsidized,1671,1673,6008399.0,1673,3021131.0,28.37252,-80.74279,Cocoa,FL,32922
