OPE ID,SchoolName,Address,City,StateCode,ZipCode,Province,Country,PostalCode
E00985,OHIO MEDIA SCHOOL - COLORADO MEDIA SCHL,1310 WADSWORTH BOULEVARD,LAKEWOOD,CO,80214,NA,NA,NA
E00993,BARRY UNIVERSITY - ORLANDO,6441 EAST COLONIAL DRIVE,ORLANDO,FL,32807,NA,NA,NA
E00994,MIAMI DADE COLLEGE - EDUARDO J. PADRON C,627 S.W. 27TH AVENUE,MIAMI,FL,33135,NA,NA,NA
E00996,WEST VIRGINIA JUNIOR COLLEGE,176 THOMPSON DRIVE,BRIDGEPORT,WV,26330,NA,NA,NA
E01002,COMMONWEALTH OF PR DEPT OF EDUC - TROQUE,#150 URB INDUSTRIAL MINILLAS,BAYAMON,PR,00959,NA,NA,NA
E01009,BRIGHTWOOD COLLEGE - LAREDO,6410 MCPHERSON ROAD,LAREDO,TX,78041,NA,NA,NA
E01020,CREATIVE IMAGES INSTITUTE OF COSMETOLOGY,568 MIAMISBURG-CENTERVILLE RD,DAYTON,OH,45459,NA,NA,NA
E01030,INTERACTIVE COLLEGE OF TECHNOLOGY NORTH,256 NORTH SAM HOUSTON PARKWAY,HOUSTON,TX,77060,NA,NA,NA
E01033,INDIANA UNIVERSITY - PURDUE UNIVERSITY I,4601 CENTRAL AVENUE,COLUMBUS,IN,47203,NA,NA,NA
E01034,DECKER COLLEGE -,3700 DEKALB TECHNOLOGY PARKWAY,ATLANTA,GA,30340,NA,NA,NA
E01035,DECKER COLLEGE -,6801 HILLSDALE COURT,INDIANAPOLIS,IN,46250,NA,NA,NA
E01036,MANATEE TECHNICAL COLLEGE - EAST CAMPUS,5520 LAKEWOOD RANCH BVD,BRADENTON,FL,34211,NA,NA,NA
E01051,AMERICAN INTERCONTINENTAL UNIV - HOUSTON,9999 RICHMOND ROAD,HOUSTON,TX,77042,NA,NA,NA
E01054,PCI ACADEMY - PCI ACADEMY,4315 PEONY LANE NORTH,PLYMOUTH,MN,55446,NA,NA,NA
E01061,SOUTHWEST FLORIDA COLLEGE - TAMPA,3910 RIGA BLVD,TAMPA,FL,33619,NA,NA,NA
E01089,DECKER SCHOOL OF CONSTRUCTION CRAFTS INC,11801 CENTRAL PARKWAY,JACKSONVILLE,FL,32224,NA,NA,NA
E01094,LINCOLN COLLEGE OF TECHNOLOGY - MARIETTA,2359 WINDY HILL ROAD,MARIETTA,GA,30067,NA,NA,NA
E01099,DECKER COLLEGE -,5534 NATIONAL TURNPIKE,LOUISVILLE,KY,40214,NA,NA,NA
E01108,STONE ACADEMY -WATERBURY,101 PIERPONT ROAD,WATERBURY,CT,06705,NA,NA,NA
E01111,RESEARCH MEDICAL CENTER - COLLEGE OF NUR,2300 EAST MEYER BOULEVARD,KANSAS CITY,MO,64132,NA,NA,NA
E01113,DELAWARE AREA CAREER CENTER -,1610 STATE ROUTE 521,DELAWARE,OH,43015,NA,NA,NA
E01127,RENSSELAER POLYTECHNIC INSTITUTE-RENSSEL,275 WINDSOR STREET,HARTFORD,CT,06120,NA,NA,NA
E01154,TWIN CITY BEAUTY COLLEGE - TRAVERSE CITY,1144 BOON STREET,TRAVERSE CITY,MI,49686,NA,NA,NA
E01193,RASMUSSEN COLLEGE - BROOKLYN PARK,8301 93RD AVENUE NORTH,BROOKLYN PARK,MN,55445,NA,NA,NA
E01195,BRIGHTWOOD COLLEGE - FRIENDSWOOD,BAYWOOD PLAZA,FRIENDSWOOD,TX,77546,NA,NA,NA
E01200,DELTA COLLEGE - SLIDELL,"105 GAUSE BOULEVARD, WEST",SLIDELL,LA,70460,NA,NA,NA
E01208,DELTA COLLEGE OF ARTS & TECHNOLOGY - LAF,"200 REPUBLIC AVENUE, SUITE F",LAFAYETTE,LA,70508,NA,NA,NA
E01223,VIRGINIA COLLEGE - BILOXI,920 CEDAR LAKE ROAD,BILOXI,MS,39532,NA,NA,NA
E01225,JOHN DEWEY COLLEGE - JUANA DIAZ BRANCH,BO.LOMAS 149 ROAD KM. 6702,JUANA DIAZ,PR,00795,NA,NA,NA
E01240,HAIR PROFESSIONALS ACADEMY OF COSMETOLOG,1100 NORTH SHERMAN,NAPERVILLE,IL,60563,NA,NA,NA
