OPE ID,School,State,Zip Code,School Type,PROCESSED IN Q2 Dependent Students,PROCESSED IN Q2 Independent Students,PROCESSED IN Q2 Quarterly Total,AWARD YEAR TO DATE Dependent Students,AWARD YEAR TO DATE Independent Students,AWARD YEAR TO DATE Award Year To Date Total
130501,STANFORD UNIVERSITY - SCHOOL OF MEDICINE,CA,94305-5404,Private      ,181,343,524,967,652,"1,619"
130502,STANFORD UNIVERSITY - GRAD SCH BUSINESS ,CA,94305-7298,Private      ,73,269,342,310,517,827
130503,STANFORD UNIVERSITY - STANFORD LAW SCHOO,CA,94305-8610,Private      ,108,"1,188","1,296",406,"1,801","2,207"
130700,FRESNO CITY COLLEGE                     ,CA,93741-0002,Public       ,"6,422","3,996","10,418","12,612","7,502","20,114"
130800,REEDLEY COLLEGE                         ,CA,93654-2099,Public       ,"2,034",704,"2,738","3,817","1,281","5,098"
130900,TAFT COLLEGE                            ,CA,93268-2317,Public       ,543,463,"1,006","1,050",770,"1,820"
131200,"UNIVERSITY OF CALIFORNIA, BERKELEY      ",CA,94720-1520,Public       ,"33,688","8,832","42,520","95,761","14,896","110,657"
131300,UNIVERSITY OF CALIFORNIA-DAVIS          ,CA,95616-8558,Public       ,"29,226","7,175","36,401","73,910","11,826","85,736"
131400,UNIVERSITY OF CALIFORNIA-IRVINE         ,CA,92697-0001,Public       ,"39,082","7,736","46,818","99,184","12,373","111,557"
131500,UNIVERSITY OF CALIFORNIA (UCLA)         ,CA,90095-9000,Public       ,"42,962","10,495","53,457","123,272","18,704","141,976"
131502,UNIV OF CALIFORNIA LOS ANG SCH MED      ,CA,90095-0000,Public       ,123,475,598,476,766,"1,242"
131503,UNIV OF CALIFORNIA LOS ANG DENTAL       ,CA,90095-0000,Public       ,42,62,104,127,132,259
131600,UNIVERSITY OF CALIFORNIA-RIVERSIDE      ,CA,92521-0209,Public       ,"23,139","4,647","27,786","54,107","7,534","61,641"
131700,UNIVERSITY OF CALIFORNIA-SAN DIEGO      ,CA,92093-0013,Public       ,"36,959","6,037","42,996","94,152","10,008","104,160"
131900,UNIVERSITY OF CALIFORNIA-SFRANCISCO     ,CA,94143-0402,Public       ,920,"2,180","3,100","3,714","3,363","7,077"
132000,UNIVERSITY OF CALIFORNIA-SANTA BARB     ,CA,93106-3180,Public       ,"29,288","3,430","32,718","75,153","5,661","80,814"
132100,UNIVERSITY OF CALIFORNIA-SANTA CRUZ     ,CA,95064-0001,Public       ,"21,295","2,346","23,641","52,461","4,076","56,537"
132200,UNIVERSITY OF REDLANDS                  ,CA,92373-0999,Private      ,"1,843",804,"2,647","5,280","1,331","6,611"
132500,UNIVERSITY OF SAN FRANCISCO             ,CA,94117-1080,Private      ,"5,551","2,880","8,431","16,159","4,371","20,530"
132600,SANTA CLARA UNIVERSITY                  ,CA,95053-4956,Private      ,"3,018","1,120","4,138","12,593","1,709","14,302"
132604,JESUIT SCHOOL OF THEOLOGY - BERKELEY    ,CA,94709-1193,Private      ,0,4,4,0,5,5
132800,UNIVERSITY OF SOUTHERN CALIFORNIA       ,CA,90089-0914,Private      ,"18,289","9,866","28,155","70,228","17,850","88,078"
132900,UNIVERSITY OF THE PACIFIC               ,CA,95211-0197,Private      ,"1,673","1,928","3,601","5,170","3,196","8,366"
133400,VENTURA COLLEGE                         ,CA,93003-3872,Public       ,"2,840","1,293","4,133","4,801","2,111","6,912"
133500,VICTOR VALLEY COLLEGE                   ,CA,92395-5849,Public       ,"3,394","2,695","6,089","5,556","4,469","10,025"
133800,WEST VALLEY COLLEGE                     ,CA,95070-5697,Public       ,"1,432",460,"1,892","2,060",733,"2,793"
134100,WESTMONT COLLEGE                        ,CA,93108-1099,Private      ,683,72,755,"2,025",135,"2,160"
134200,WHITTIER COLLEGE                        ,CA,90601-0000,Private      ,588,114,702,"1,793",229,"2,022"
134300,WOODBURY UNIVERSITY                     ,CA,91510-7846,Private      ,575,213,788,"1,358",310,"1,668"
134400,YUBA COLLEGE                            ,CA,95901-7699,Public       ,"1,126",804,"1,930","1,902","1,397","3,299"
177212,TRINITY INTERNATIONAL UNIV-CA           ,CA,92705-0000,Private      ,6,191,197,12,286,298
188100,ASHFORD UNIVERSITY                      ,CA,92123-1406,Proprietary  ,261,"5,586","5,847",438,"8,288","8,726"
274100,AMERICAN JEWISH UNIVERSITY              ,CA,90077-1599,Private      ,3,20,23,4,33,37
301002,ANTIOCH UNIV/LOS ANGELES                ,CA,90230-7615,Private      ,29,385,414,54,559,613
301003,ANTIOCH  UNIV/SANTA BARBARA             ,CA,93101-0000,Private      ,281,170,451,798,266,"1,064"
369110,MIDDLEBURY COLLEGE - MONTEREY INSTITUTE ,CA,93940-2691,Private      ,27,167,194,62,282,344
394700,UC-HASTINGS COLLEGE OF THE LAW          ,CA,94102-0000,Public       ,21,"1,154","1,175",50,"1,573","1,623"
408000,STARR KING SCHOOL FOR THE MINISTRY      ,CA,94613-1000,Private      ,1,36,37,3,43,46
448000,DE ANZA COLLEGE                         ,CA,95014-5793,Public       ,"3,884","1,462","5,346","6,096","2,212","8,308"
448100,OHLONE COLLEGE                          ,CA,94539-5847,Public       ,"1,342",550,"1,892","2,189",955,"3,144"
448400,JOHN F. KENNEDY UNIVERSITY              ,CA,94523-4817,Private      ,13,26,39,21,42,63
450200,CITY COLLEGE OF SAN FRANCISCO           ,CA,94112-1821,Public       ,"2,553","2,373","4,926","4,592","4,020","8,612"
563800,DOWNEY ADULT SCHOOL                     ,CA,90241-5610,Public       ,81,230,311,118,335,453
565500,HACIENDA LA PUENTE ADULT EDUC CTR       ,CA,91746-0000,Public       ,94,143,237,132,231,363
616500,LA CNTY CLG OF NURSING & ALLD HLTH      ,CA,90033-1018,Public       ,92,174,266,200,293,493
672000,COLLEGE OF ALAMEDA                      ,CA,94501-2109,Public       ,836,870,"1,706","1,312","1,438","2,750"
673100,CASA LOMA COLLEGE                       ,CA,91405-0000,Private      ,92,162,254,175,372,547
697300,CANADA COLLEGE                          ,CA,94061-1099,Public       ,776,378,"1,154","1,197",637,"1,834"
697500,LINCOLN UNIVERSITY                      ,CA,94612-2801,Private      ,53,19,72,85,30,115
701200,SAMUEL MERRITT UNIVERSITY               ,CA,94609-3108,Private      ,126,"1,179","1,305",264,"1,693","1,957"
704700,LOS ANGELES SOUTHWEST COLLEGE           ,CA,90047-4810,Public       ,"1,144","1,565","2,709","1,760","2,358","4,118"
