index,OPE ID,School,City,State,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
4488,1360,METROPOLITAN STATE UNIVERSITY OF DENVER,DENVER,CO,80204,Public,Unsubsidized - Undergraduate,3872,3938,20004948,3938,11023792
18026,2569,UNIVERSITY OF NEVADA - LAS VEGAS,LAS VEGAS,NV,89154,Public,Grad Plus,819,840,22089406,853,11017260
4878,2010,LOUISIANA STATE UNIVERSITY & AGRICULTURAL & MECHANICAL COLLEGE,BATON ROUGE,LA,70803,Public,Unsubsidized - Undergraduate,5505,5829,21206744,5829,11014387
12825,1057,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,36688,Public,Parent Plus,1397,1417,21790657,1417,11011612
12898,1312,"UNIVERSITY OF CALIFORNIA, BERKELEY",BERKELEY,CA,94720,Public,Parent Plus,825,847,21345801,847,10981087
9479,2568,"UNIVERSITY OF NEVADA , RENO",RENO,NV,89557,Public,Unsubsidized - Graduate,1125,1186,21386299,1186,10975077
12869,1108,UNIVERSITY OF ARKANSAS,FAYETTEVILLE,AR,72701,Public,Parent Plus,1174,1200,21373221,1200,10969003
5188,2565,UNIVERSITY OF NEBRASKA,LINCOLN,NE,68588,Public,Unsubsidized - Undergraduate,5091,5367,21272990,5367,10968871
5251,2837,STATE UNIVERSITY OF NEW YORK AT BUFFALO,BUFFALO,NY,14260,Public,Unsubsidized - Undergraduate,5801,5963,21556559,5963,10961452
10918,10724,ALBIZU UNIVERSITY,SAN JUAN,PR,902,Private-Nonprofit,Unsubsidized - Graduate,1524,1563,30432873,1563,10939480
9983,3479,BELMONT UNIVERSITY,NASHVILLE,TN,37212,Private-Nonprofit,Unsubsidized - Graduate,931,932,21619423,932,10925371
5496,3184,UNIVERSITY OF OKLAHOMA - NORMAN CAMPUS,NORMAN,OK,73019,Public,Unsubsidized - Undergraduate,5183,5396,21464788,5397,10913658
734,2243,CENTRAL MICHIGAN UNIVERSITY,MOUNT PLEASANT,MI,48859,Public,Subsidized,4839,4839,21127800,4839,10895226
1109,2906,APPALACHIAN STATE UNIVERSITY,BOONE,NC,28608,Public,Subsidized,5154,5192,21181203,5192,10890602
104,1144,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",POMONA,CA,91768,Public,Subsidized,4560,4568,21422685,4580,10888088
17196,21553,CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY,,CA,,Private-Nonprofit,Grad Plus,900,903,25411904,923,10816487
568,1989,UNIVERSITY OF KENTUCKY,LEXINGTON,KY,40506,Public,Subsidized,4890,4922,21379318,4922,10811274
8757,1370,UNIVERSITY OF COLORADO BOULDER,BOULDER,CO,80309,Public,Unsubsidized - Graduate,1169,1209,21049214,1209,10806831
17769,2165,MCPHS UNIVERSITY,BOSTON,MA,2115,Private-Nonprofit,Grad Plus,861,877,25439275,877,10800488
8651,7012,SAMUEL MERRITT UNIVERSITY,OAKLAND,CA,94609,Private-Nonprofit,Unsubsidized - Graduate,884,886,18846146,886,10798546
